draw,date,n1,n2,n3,n4,n5,n6,bonus
692,20160305,3,11,14,15,32,36,44
693,20160312,1,6,11,28,34,42,30
694,20160319,7,15,20,25,33,43,12
695,20160326,4,18,26,33,34,38,14
696,20160402,1,7,16,18,34,38,21
697,20160409,2,5,8,11,33,39,31
698,20160416,3,11,13,21,33,37,18
699,20160423,4,5,8,16,21,29,3
700,20160430,11,23,28,29,30,44,13
701,20160507,3,10,14,16,36,38,35
702,20160514,3,13,16,24,26,29,9
703,20160521,10,28,31,33,41,44,21
704,20160528,1,4,8,23,33,42,45
705,20160604,1,6,17,22,28,45,23
706,20160611,3,4,6,10,28,30,37
707,20160618,2,12,19,24,39,44,35
708,20160625,2,10,16,19,34,45,1
709,20160702,10,18,30,36,39,44,32
710,20160709,3,4,9,24,25,33,10
711,20160716,11,15,24,35,37,45,42
712,20160723,17,20,30,31,33,45,19
713,20160730,2,5,15,18,19,23,44
714,20160806,1,7,22,33,37,40,20
715,20160813,2,7,27,33,41,44,10
716,20160820,2,6,13,16,29,30,21
717,20160827,2,11,19,25,28,32,44
718,20160903,4,11,20,23,32,39,40
719,20160910,4,8,13,19,20,43,26
720,20160917,1,12,29,34,36,37,41
721,20160924,1,28,35,41,43,44,31
722,20161001,12,14,21,30,39,43,45
723,20161008,20,30,33,35,36,44,22
724,20161015,2,8,33,35,37,41,14
725,20161022,6,7,19,21,41,43,38
726,20161029,1,11,21,23,34,44,24
727,20161105,7,8,10,19,21,31,20
728,20161112,3,6,10,30,34,37,36
729,20161119,11,17,21,26,36,45,16
730,20161126,4,10,14,15,18,22,39
731,20161203,2,7,13,25,42,45,39
732,20161210,2,4,5,17,27,32,43
733,20161217,11,24,32,33,35,40,13
734,20161224,6,16,37,38,41,45,18
735,20161231,5,10,13,27,37,41,4
736,20170107,2,11,17,18,21,27,6
737,20170114,13,15,18,24,27,41,11
738,20170121,23,27,28,38,42,43,36
739,20170128,7,22,29,33,34,35,30
740,20170204,4,8,9,16,17,19,31
741,20170211,5,21,27,34,44,45,16
742,20170218,8,10,13,36,37,40,6
743,20170225,15,19,21,34,41,44,10
744,20170304,10,15,18,21,34,41,43
745,20170311,1,2,3,9,12,23,10
746,20170318,3,12,33,36,42,45,25
747,20170325,7,9,12,14,23,28,17
748,20170401,3,10,13,22,31,32,29
749,20170408,12,14,24,26,34,45,41
750,20170415,1,2,15,19,24,36,12
751,20170422,3,4,16,20,28,44,17
752,20170429,4,16,20,33,40,43,7
753,20170506,2,17,19,24,37,41,3
754,20170513,2,8,17,24,29,31,32
755,20170520,13,14,26,28,30,36,37
756,20170527,10,14,16,18,27,28,4
757,20170603,6,7,11,17,33,44,1
758,20170610,5,9,12,30,39,43,24
759,20170617,9,33,36,40,42,43,32
760,20170624,10,22,27,31,42,43,12
761,20170701,4,7,11,24,42,45,30
762,20170708,1,3,12,21,26,41,16
763,20170715,3,8,16,32,34,43,10
764,20170722,7,22,24,31,34,36,15
765,20170729,1,3,8,12,42,43,33
766,20170805,9,30,34,35,39,41,21
767,20170812,5,15,20,31,34,42,22
768,20170819,7,27,29,30,38,44,4
769,20170826,5,7,11,16,41,45,4
770,20170902,1,9,12,23,39,43,34
771,20170909,6,10,17,18,21,29,30
772,20170916,5,6,11,14,21,41,32
773,20170923,8,12,19,21,31,35,44
774,20170930,12,15,18,28,34,42,9
775,20171007,11,12,29,33,38,42,17
776,20171014,8,9,18,21,28,40,20
777,20171021,6,12,17,21,34,37,18
778,20171028,6,21,35,36,37,41,11
779,20171104,6,12,19,24,34,41,4
780,20171111,15,17,19,21,27,45,16
781,20171118,11,16,18,19,24,39,43
782,20171125,6,18,31,34,38,45,20
783,20171202,14,15,16,17,38,45,36
784,20171209,3,10,23,24,31,39,22
785,20171216,4,6,15,25,26,33,40
786,20171223,12,15,16,20,24,30,38
787,20171230,5,6,13,16,27,28,9
788,20180106,2,10,11,19,35,39,29
789,20180113,2,6,7,12,19,45,38
790,20180120,3,8,19,27,30,41,12
791,20180127,2,10,12,31,33,42,32
792,20180203,2,7,19,25,29,36,16
793,20180210,10,15,21,35,38,43,31
794,20180217,6,7,18,19,30,38,13
795,20180224,3,10,13,26,34,38,36
796,20180303,1,21,26,36,40,41,5
797,20180310,5,22,31,32,39,45,36
798,20180317,2,10,14,22,32,36,41
799,20180324,12,17,23,34,42,45,33
800,20180331,1,4,10,12,28,45,26
801,20180407,17,25,28,37,43,44,2
802,20180414,10,11,12,18,24,42,27
803,20180421,5,9,14,26,30,43,2
804,20180428,1,10,13,26,32,36,9
805,20180505,3,12,13,18,31,32,42
806,20180512,14,20,23,31,37,38,27
807,20180519,6,10,18,25,34,35,33
808,20180526,15,21,31,32,41,43,24
809,20180602,6,11,15,17,23,40,39
810,20180609,5,10,13,21,39,43,11
811,20180616,8,11,19,21,36,45,25
812,20180623,1,3,12,14,16,43,10
813,20180630,11,30,34,35,42,44,27
814,20180707,2,21,28,38,42,45,30
815,20180714,17,21,25,26,27,36,4
816,20180721,12,18,19,29,31,39,7
817,20180728,3,9,12,13,25,43,34
818,20180804,14,15,25,28,29,30,3
819,20180811,16,25,33,38,40,45,15
820,20180818,10,21,22,30,35,42,6
821,20180825,1,12,13,24,29,44,16
822,20180901,9,18,20,24,27,36,12
823,20180908,12,18,24,26,39,40,15
824,20180915,7,9,24,29,34,38,26
825,20180922,8,15,21,31,33,38,42
826,20180929,13,16,24,25,33,36,42
827,20181006,5,11,12,29,33,44,14
828,20181013,4,7,13,29,31,39,18
829,20181020,4,5,31,35,43,45,29
830,20181027,5,6,16,18,37,38,17
831,20181103,3,10,16,19,31,39,9
832,20181110,13,14,19,26,40,43,30
833,20181117,12,18,30,39,41,42,19
834,20181124,6,8,18,35,42,43,3
835,20181201,9,10,13,28,38,45,35
836,20181208,1,9,11,14,26,28,19
837,20181215,2,25,28,30,33,45,6
838,20181222,9,14,17,33,36,38,20
839,20181229,3,9,11,12,13,19,35
840,20190105,2,4,11,28,29,43,27
841,20190112,5,11,14,30,33,38,24
842,20190119,14,26,32,36,39,42,38
843,20190126,19,21,30,33,34,42,4
844,20190202,7,8,13,15,33,45,18
845,20190209,1,16,29,33,40,45,6
846,20190216,5,18,30,41,43,45,13
847,20190223,12,16,26,28,30,42,22
848,20190302,1,2,16,22,38,39,34
849,20190309,5,13,17,29,34,39,3
850,20190316,16,20,24,28,36,39,5
851,20190323,14,18,22,26,31,44,40
852,20190330,11,17,28,30,33,35,9
853,20190406,2,8,23,26,27,44,13
854,20190413,20,25,31,32,36,43,3
855,20190420,8,15,17,19,43,44,7
856,20190427,10,24,40,41,43,44,17
857,20190504,6,10,16,28,34,38,43
858,20190511,9,13,32,38,39,43,23
859,20190518,8,22,35,38,39,41,24
860,20190525,4,8,18,25,27,32,42
861,20190601,11,17,19,21,22,25,24
862,20190608,10,34,38,40,42,43,32
863,20190615,16,21,28,35,39,43,12
864,20190622,3,7,10,13,25,36,32
865,20190629,3,15,22,32,33,45,2
866,20190706,9,15,29,34,37,39,12
867,20190713,14,17,19,22,24,40,41
868,20190720,12,17,28,41,43,44,25
869,20190727,2,6,20,27,37,39,4
870,20190803,21,25,30,32,40,42,31
871,20190810,2,6,12,26,30,34,38
872,20190817,2,4,30,32,33,43,29
873,20190824,3,5,12,13,33,39,38
874,20190831,1,15,19,23,28,42,32
875,20190907,19,22,30,34,39,44,36
876,20190914,5,16,21,26,34,42,24
877,20190921,5,17,18,22,23,43,12
878,20190928,2,6,11,16,25,31,3
879,20191005,1,4,10,14,15,35,20
880,20191012,7,17,19,23,24,45,38
881,20191019,4,18,20,26,27,32,9
882,20191026,18,34,39,43,44,45,23
883,20191102,9,18,32,33,37,44,22
884,20191109,4,14,23,28,37,45,17
885,20191116,1,3,24,27,39,45,31
886,20191123,19,23,28,37,42,45,2
887,20191130,8,14,17,27,36,45,10
888,20191207,3,7,12,31,34,38,32
889,20191214,3,13,29,38,39,42,26
890,20191221,1,4,14,18,29,37,6
891,20191228,9,13,28,31,39,41,19
892,20200104,4,9,17,18,26,42,36
893,20200111,1,15,17,23,25,41,10
894,20200118,19,32,37,40,41,43,45
895,20200125,16,26,31,38,39,41,23
896,20200201,5,12,25,26,38,45,23
897,20200208,6,7,12,22,26,36,29
898,20200215,18,21,28,35,37,42,17
899,20200222,8,19,20,21,33,39,37
900,20200229,7,13,16,18,35,38,14
901,20200307,5,18,20,23,30,34,21
902,20200314,7,19,23,24,36,39,30
903,20200321,2,15,16,21,22,28,45
904,20200328,2,6,8,26,43,45,11
905,20200404,3,4,16,27,38,40,20
906,20200411,2,5,14,28,31,32,20
907,20200418,21,27,29,38,40,44,37
908,20200425,3,16,21,22,23,44,30
909,20200502,7,24,29,30,34,35,33
910,20200509,1,11,17,27,35,39,31
911,20200516,4,5,12,14,32,42,35
912,20200523,5,8,18,21,22,38,10
913,20200530,6,14,16,21,27,37,40
914,20200606,16,19,24,33,42,44,27
915,20200613,2,6,11,13,22,37,14
916,20200620,6,21,22,32,35,36,17
917,20200627,1,3,23,24,27,43,34
918,20200704,7,11,12,31,33,38,5
919,20200711,9,14,17,18,42,44,35
920,20200718,2,3,26,33,34,43,29
921,20200725,5,7,12,22,28,41,1
922,20200801,2,6,13,17,27,43,36
923,20200808,3,17,18,23,36,41,26
924,20200815,3,11,34,42,43,44,13
925,20200822,13,24,32,34,39,42,4
926,20200829,10,16,18,20,25,31,6
927,20200905,4,15,22,38,41,43,26
928,20200912,3,4,10,20,28,44,30
929,20200919,7,9,12,15,19,23,4
930,20200926,8,21,25,38,39,44,28
931,20201003,14,15,23,25,35,43,32
932,20201010,1,6,15,36,37,38,5
933,20201017,23,27,29,31,36,45,37
934,20201024,1,3,30,33,36,39,12
935,20201031,4,10,20,32,38,44,18
936,20201107,7,11,13,17,18,29,43
937,20201114,2,10,13,22,29,40,26
938,20201121,4,8,10,16,31,36,9
939,20201128,4,11,28,39,42,45,6
940,20201205,3,15,20,22,24,41,11
941,20201212,12,14,25,27,39,40,35
942,20201219,10,12,18,35,42,43,39
943,20201226,1,8,13,36,44,45,39
944,20210102,2,13,16,19,32,33,42
945,20210109,9,10,15,30,33,37,26
946,20210116,9,18,19,30,34,40,20
947,20210123,3,8,17,20,27,35,26
948,20210130,13,18,30,31,38,41,5
949,20210206,14,21,35,36,40,44,30
950,20210213,3,4,15,22,28,40,10
951,20210220,2,12,30,31,39,43,38
952,20210227,4,12,22,24,33,41,38
953,20210306,7,9,22,27,37,42,34
954,20210313,1,9,26,28,30,41,32
955,20210320,4,9,23,26,29,33,8
956,20210327,10,11,20,21,25,41,40
957,20210403,4,15,24,35,36,40,1
958,20210410,2,9,10,16,35,37,1
959,20210417,1,14,15,24,40,41,35
960,20210424,2,18,24,30,32,45,14
961,20210501,11,20,29,31,33,42,43
962,20210508,1,18,28,31,34,43,40
963,20210515,6,12,19,23,34,42,35
964,20210522,6,21,36,38,39,43,30
965,20210529,2,13,25,28,29,36,34
966,20210605,1,21,25,29,34,37,36
967,20210612,1,6,13,37,38,40,9
968,20210619,2,5,12,14,24,39,33
969,20210626,3,9,10,29,40,45,7
970,20210703,9,11,16,21,28,36,5
971,20210710,2,6,17,18,21,26,7
972,20210717,3,6,17,23,37,39,26
973,20210724,22,26,31,37,41,42,24
974,20210731,1,2,11,16,39,44,32
975,20210807,7,8,9,17,22,24,5
976,20210814,4,12,14,25,35,37,2
977,20210821,2,9,10,14,22,44,16
978,20210828,1,7,15,32,34,42,8
979,20210904,7,11,16,21,27,33,24
980,20210911,3,13,16,23,24,35,14
981,20210918,27,36,37,41,43,45,32
982,20210925,5,7,13,20,21,44,33
983,20211002,13,23,26,31,35,43,15
984,20211009,3,10,23,35,36,37,18
985,20211016,17,21,23,30,34,44,19
986,20211023,7,10,16,28,41,42,40
987,20211030,2,4,15,23,29,38,7
988,20211106,2,13,20,30,31,41,27
989,20211113,17,18,21,27,29,33,26
990,20211120,2,4,25,26,36,37,28
991,20211127,13,18,25,31,33,44,38
992,20211204,12,20,26,33,44,45,24
993,20211211,6,14,16,18,24,42,44
994,20211218,1,3,8,24,27,35,28
995,20211225,1,4,13,29,38,39,7
996,20220101,6,11,15,24,32,39,28
997,20220108,4,7,14,16,24,44,20
998,20220115,13,17,18,20,42,45,41
999,20220122,1,3,9,14,18,28,34
1000,20220129,2,8,19,22,32,42,39
1001,20220205,6,10,12,14,20,42,15
1002,20220212,17,25,33,35,38,45,15
1003,20220219,1,4,29,39,43,45,31
1004,20220226,7,15,30,37,39,44,18
1005,20220305,8,13,18,24,27,29,17
1006,20220312,8,11,15,16,17,37,36
1007,20220319,8,11,16,19,21,25,40
1008,20220326,9,11,30,31,41,44,33
1009,20220402,15,23,29,34,40,44,20
1010,20220409,9,12,15,25,34,36,3
1011,20220416,1,9,12,26,35,38,42
1012,20220423,5,11,18,20,35,45,3
1013,20220430,21,22,26,34,36,41,32
1014,20220507,3,11,14,18,26,27,21
1015,20220514,14,23,31,33,37,40,44
1016,20220521,15,26,28,34,41,42,44
1017,20220528,12,18,22,23,30,34,32
1018,20220604,3,19,21,25,37,45,35
1019,20220611,1,4,13,17,34,39,6
1020,20220618,12,27,29,38,41,45,6
1021,20220625,12,15,17,24,29,45,16
1022,20220702,5,6,11,29,42,45,28
1023,20220709,10,14,16,18,29,35,25
1024,20220716,9,18,20,22,38,44,10
1025,20220723,8,9,20,25,29,33,7
1026,20220730,5,12,13,31,32,41,34
1027,20220806,14,16,27,35,39,45,5
1028,20220813,5,7,12,13,18,35,23
1029,20220820,12,30,32,37,39,41,24
1030,20220827,2,5,11,17,24,29,9
1031,20220903,6,7,22,32,35,36,19
1032,20220910,1,6,12,19,36,42,28
1033,20220917,3,11,15,20,35,44,10
1034,20220924,26,31,32,33,38,40,11
1035,20221001,9,14,34,35,41,42,2
1036,20221008,2,5,22,32,34,45,39
1037,20221015,2,14,15,22,27,33,31
1038,20221022,7,16,24,27,37,44,2
1039,20221029,2,3,6,19,36,39,26
1040,20221105,8,16,26,29,31,36,11
1041,20221112,6,7,9,11,17,18,45
1042,20221119,5,14,15,23,34,43,4
1043,20221126,3,5,12,22,26,31,19
1044,20221203,12,17,20,26,28,36,4
1045,20221210,6,14,15,19,21,41,37
1046,20221217,7,16,25,29,35,36,28
1047,20221224,2,20,33,40,42,44,32
1048,20221231,6,12,17,21,32,39,30
1049,20230107,3,5,13,20,21,37,17
1050,20230114,6,12,31,35,38,43,17
1051,20230121,21,26,30,32,33,35,44
1052,20230128,5,17,26,27,35,38,1
1053,20230204,22,26,29,30,34,45,15
1054,20230211,14,19,27,28,30,45,33
1055,20230218,4,7,12,14,22,33,31
1056,20230225,13,20,24,32,36,45,29
1057,20230304,8,13,19,27,40,45,12
1058,20230311,11,23,25,30,32,40,42
1059,20230318,7,10,22,25,34,40,27
1060,20230325,3,10,24,33,38,45,36
1061,20230401,4,24,27,35,37,45,15
1062,20230408,20,31,32,40,41,45,12
1063,20230415,3,6,22,23,24,38,30
1064,20230422,3,6,9,18,22,35,14
1065,20230429,3,18,19,23,32,45,24
1066,20230506,6,11,16,19,21,32,45
1067,20230513,7,10,19,23,28,33,18
1068,20230520,4,7,19,26,33,35,3
1069,20230527,1,10,18,22,28,31,44
1070,20230603,3,6,14,22,30,41,36
1071,20230610,1,2,11,21,30,35,39
1072,20230617,16,18,20,23,32,43,27
1073,20230624,6,18,28,30,32,38,15
1074,20230701,1,6,20,27,28,41,15
1075,20230708,1,23,24,35,44,45,10
1076,20230715,3,7,9,33,36,37,10
1077,20230722,4,8,17,30,40,43,34
1078,20230729,6,10,11,14,36,38,43
1079,20230805,4,8,18,24,37,45,6
1080,20230812,13,16,23,31,36,44,38
1081,20230819,1,9,16,23,24,38,17
1082,20230826,21,26,27,32,34,42,31
1083,20230902,3,7,14,15,22,38,17
1084,20230909,8,12,13,29,33,42,5
1085,20230916,4,7,17,18,38,44,36
1086,20230923,11,16,25,27,35,36,37
1087,20230930,13,14,18,21,34,44,16
1088,20231007,11,21,22,30,39,44,31
1089,20231014,4,18,31,37,42,43,40
1090,20231021,12,19,21,29,40,45,1
1091,20231028,6,20,23,24,28,30,44
1092,20231104,7,18,19,26,33,45,37
1093,20231111,10,17,22,30,35,43,44
1094,20231118,6,7,15,22,26,40,41
1095,20231125,8,14,28,29,34,40,12
1096,20231202,1,12,16,19,23,43,34
1097,20231209,14,33,34,35,37,40,4
1098,20231216,12,16,21,24,41,43,15
1099,20231223,3,20,28,38,40,43,4
1100,20231230,17,26,29,30,31,43,12
1101,20240106,6,7,13,28,36,42,41
1102,20240113,13,14,22,26,37,38,20
1103,20240120,10,12,29,31,40,44,2
1104,20240127,1,7,21,30,35,38,2
1105,20240203,6,16,34,37,39,40,11
1106,20240210,1,3,4,29,42,45,36
1107,20240217,6,14,30,31,40,41,29
1108,20240224,7,19,26,37,39,44,27
1109,20240302,10,12,13,19,33,40,2
1110,20240309,3,7,11,20,22,41,24
1111,20240316,3,13,30,33,43,45,4
1112,20240323,16,20,26,36,42,44,24
1113,20240330,11,13,20,21,32,44,8
1114,20240406,10,16,19,32,33,38,3
1115,20240413,7,12,23,32,34,36,8
1116,20240420,15,16,17,25,30,31,32
1117,20240427,3,4,9,30,33,36,7
1118,20240504,11,13,14,15,16,45,3
1119,20240511,1,9,12,13,20,45,3
1120,20240518,2,19,26,31,38,41,34
1121,20240525,6,24,31,32,38,44,8
1122,20240601,3,6,21,30,34,35,22
1123,20240608,13,19,21,24,34,35,26
1124,20240615,3,8,17,30,33,34,28
1125,20240622,6,14,25,33,40,44,30
1126,20240629,4,5,9,11,37,40,7
1127,20240706,10,15,24,30,31,37,32
1128,20240713,1,5,8,16,28,33,45
1129,20240720,5,10,11,17,28,34,22
1130,20240727,15,19,21,25,27,28,40
1131,20240803,1,2,6,14,27,38,33
1132,20240810,6,7,19,28,34,41,5
1133,20240817,13,14,20,28,29,34,23
1134,20240824,3,7,9,13,19,24,23
1135,20240831,1,6,13,19,21,33,4
1136,20240907,21,33,35,38,42,44,1
1137,20240914,4,9,12,15,33,45,26
1138,20240921,14,16,19,20,29,34,35
1139,20240928,5,12,15,30,37,40,18
1140,20241005,7,10,22,29,31,38,15
1141,20241012,7,11,12,21,26,35,20
1142,20241019,2,8,28,30,37,41,22
1143,20241026,10,16,17,27,28,36,6
1144,20241102,3,4,12,15,26,34,6
1145,20241109,2,11,31,33,37,44,32
1146,20241116,6,11,17,19,40,43,28
1147,20241123,7,11,24,26,27,37,32
1148,20241130,3,6,13,15,16,22,32
1149,20241207,8,15,19,21,32,36,38
1150,20241214,8,9,18,35,39,45,25
1151,20241221,2,3,9,15,27,29,8
1152,20241228,30,31,32,35,36,37,5
1153,20250104,1,9,10,13,35,44,5
1154,20250111,4,8,22,26,32,38,27
1155,20250118,10,16,19,27,37,38,13
1156,20250125,30,31,34,39,41,45,7
1157,20250201,5,7,12,20,25,26,28
1158,20250208,21,25,27,32,37,38,20
1159,20250215,3,9,27,28,38,39,7
1160,20250222,7,13,18,36,39,45,19
1161,20250301,2,12,20,24,34,42,37
1162,20250308,20,21,22,25,28,29,6
1163,20250315,2,13,15,16,33,43,4
1164,20250322,17,18,23,25,38,39,22
1165,20250329,6,7,27,29,38,45,17
1166,20250405,14,23,25,27,29,42,16
1167,20250412,8,23,31,35,39,40,24
1168,20250419,9,21,24,30,33,37,29
1169,20250426,5,12,24,26,39,42,20
1170,20250503,3,13,28,34,38,42,25
1171,20250510,3,6,7,11,12,17,19
1172,20250517,7,9,24,40,42,44,45
1173,20250524,1,5,18,20,30,35,3
1174,20250531,8,11,14,17,36,39,22
1175,20250607,3,4,6,8,32,42,31
1176,20250614,7,9,11,21,30,35,29
1177,20250621,3,7,15,16,19,43,21
1178,20250628,5,6,11,27,43,44,17
1179,20250705,3,16,18,24,40,44,21
1180,20250712,6,12,18,37,40,41,3
1181,20250719,8,10,14,20,33,41,28
1182,20250726,1,13,21,25,28,31,22
1183,20250802,4,15,17,23,27,36,31
1184,20250809,14,16,23,25,31,37,42
1185,20250816,6,17,22,28,29,32,38
1186,20250823,2,8,13,16,23,28,35
1187,20250830,5,13,26,29,37,40,42
1188,20250906,3,4,12,19,22,27,9
1189,20250913,9,19,29,35,37,38,31
1190,20250920,7,9,19,23,26,45,33
1191,20250927,1,4,11,12,20,41,2
1192,20251004,10,16,23,36,39,40,11
1193,20251011,6,9,16,19,24,28,17
1194,20251018,3,13,15,24,33,37,2
1195,20251025,3,15,27,33,34,36,37
1196,20251101,8,12,15,29,40,45,14
1197,20251108,1,5,7,26,28,43,30
1198,20251115,26,30,33,38,39,41,21
1199,20251122,16,24,25,30,31,32,7
1200,20251129,1,2,4,16,20,32,45
1201,20251206,7,9,24,27,35,36,37
1202,20251213,5,12,21,33,37,40,7
1203,20251220,3,6,18,29,35,39,24
1204,20251227,8,16,28,30,31,44,27
1205,20260103,1,4,16,23,31,41,2
1206,20260110,1,3,17,26,27,42,23
1207,20260117,10,22,24,27,38,45,11
1208,20260124,6,27,30,36,38,42,25
1209,20260131,2,17,20,35,37,39,24
1210,20260207,1,7,9,17,27,38,31
1211,20260214,23,26,27,35,38,40,10
1212,20260221,5,8,25,31,41,44,45
1213,20260228,5,11,25,27,36,38,2
1214,20260307,10,15,19,27,30,33,14
1215,20260314,13,15,19,21,44,45,39
1216,20260321,3,10,14,15,23,24,25
1217,20260328,8,10,15,20,29,31,41
1218,20260404,3,28,31,32,42,45,25
1219,20260411,1,2,15,28,39,45,31
1220,20260418,2,22,25,28,34,43,16
1221,20260425,6,13,18,28,30,36,9
1222,20260502,4,11,17,22,32,41,34
1223,20260509,16,18,20,32,33,39,26
1224,20260516,9,18,21,27,44,45,28
1225,20260523,8,9,19,25,41,42,33
1226,20260530,4,6,13,17,26,28,41
1227,20260606,1,14,16,34,41,44,13
1228,20260613,24,29,30,31,35,44,1
1229,20260620,12,13,29,34,37,42,16
1230,20260627,3,8,9,22,28,42,45
1231,20260704,4,13,14,18,31,38,15
1232,20260711,12,15,19,22,24,36,3
1233,20260718,2,7,20,25,37,40,29
1234,20260725,1,15,19,31,35,43,27
1235,20260801,6,7,11,15,39,43,20
1236,20260808,12,18,21,29,34,38,10
1237,20260815,10,20,23,34,37,40,36
1238,20260822,2,13,18,32,38,42,22
1239,20260829,11,13,22,32,33,36,8
